year,round,date,circuit_name,driver_code,driver_number,team_name,grid_position,classified_position,status,points_real
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,TRU,6,Jordan,12.0,7,+1 Lap,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,BUT,10,Williams,8.0,9,+1 Lap,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,FIS,11,Benetton,7.0,R,Brakes,0.0
2000,12,2000-08-13 00:00:00+00:00,Hungarian Grand Prix,HEI,15,Prost,19.0,R,Electrical,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,,1,McLaren,1.0,1,Finished,10.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,ZON,23,BAR,13.0,12,+1 Lap,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,WUR,12,Benetton,19.0,13,+1 Lap,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,DLR,18,Arrows,16.0,16,+2 Laps,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,MSC,3,Ferrari,4.0,2,Finished,6.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,SCH,9,Williams,6.0,3,Finished,4.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,COU,2,McLaren,5.0,4,Finished,3.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,BUT,10,Williams,3.0,5,Finished,2.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,VIL,22,BAR,7.0,7,Finished,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,BAR,4,Ferrari,10.0,R,Fuel pressure,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,HEI,15,Prost,14.0,R,Engine,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,FIS,11,Benetton,11.0,R,Electrical,0.0
2000,13,2000-08-27 00:00:00+00:00,Belgian Grand Prix,TRU,6,Jordan,2.0,R,Collision,0.0
2000,14,2000-09-10 00:00:00+00:00,Italian Grand Prix,MSC,3,Ferrari,1.0,1,Finished,10.0
